,도,시,구,주소,전화번호,,,
1,,부산,,해초과메기(부산점 )부산시 부산진구 부암동506-9번지,,,,
2,,부산,,해초과메기(부산양정 )부산시 부산진구 연수로54번길20(양정동),,,,
3,,부산,,"해초과메기(부산학장)부산시 사상구 학감대로125,1층 ",,,,
4,,부산,,"해초과메기(부산화명 )부산시 북구 금곡도로187-1,1층4호(화명동)",,,,
5,,부산,,해초과메기(해운대점)부산시 해운대구 중동1764-6,,,,
6,,부산,,"해초과메기(금정 구서점)부산시 금정구 중앙대로1841번길 65,8103호",,,,
7,,부산,,"해초과메기(거제 온천점)부산시 동래구 여고북로127,1층(온천동)",,,,
8,,부산,,"해초과메기(명장잠)부산시 동래구 명안로39번길4, 1층",,,,
9,,부산,,해초과메기(사상점)부산시 사상구 사상로212번길30,,,,
10,,대전,,"해초과메기(대전점)대전시 서구 문정로9번길 37,1층(둔산동)",,,,
11,,대전,,"해초과메기(대전직영점)대전시 중구 대종로435,1층(대흥동)",,,,
12,경상북도,구미,,"해초과메기(구미점)경북 구미시 상사서로86-17,1층(상모동) ",,,,
13,경상북도,구미,,해초과메기(구미옥계)구미시 산호대로 25길26-1(옥계동),,,,
14,경상북도,구미,,해초과메기(구미봉곡) 구미시 봉곡남로55(봉곡동),,,,
15,,대구,,해초과메기(대구점)대구광역시 달서구 본리서길10 1층(본리동),,,,
16,,대구,,해초과메기(대구성서)대구시 달서구 신당동1088-1,,,,
17,,대구,,"해초과메기(대구강북)대구시 북구 구암로 54번길 3-35, 1층",,,,
18,,대구,,해초과메기(앞산대명점)대구시 남구 앞산순환로 351-31 1층,,,,
19,,대구,,해초과메기(대구수성)대구시 수성구,,,,
20,경상남도,진주,,해초과메기(진주점)경남 진주시 봉곡동12-9번지,,,,
21,경상남도,진주,,"해초과메기(망경점)경남 진주시 망경로 284,1층(망경동)",,,,
22,경상남도,진주,,"해초과메기(하대점)경남 진주시 도동천로227,1층(하대동) ",,,,
23,경상남도,진주,,"해초과메기(초전점)경남 진주시 말티고개로123번길 20-1,1층",,,,
24,경상남도,진주,,해초과메기(혁신점)경남 진주시 충의로20-17 105호,,,,
25,경상남도,진주,,해초과메기(평거점)진주시 평거로40번길 10(평거동),,,,
26,경상남도,통영,,해초과메기(통영점)경남 통영시 주전골길10-30(태평동),,,,
27,경상남도,하동,,해초과메기(하동)경남 하동군 하동읍 중앙2길12,,,,
28,경상남도,창원,,"해초과메기경남 창원시 성산구 삼정자로43번길8,207호",,,,
29,경상남도,사천,,해초과메기(사천점)경남 사천시 구암 두문로6-1,,,,
30,경상남도,삼천포,,해초과메기(삼천포점)경남 사천시 벌리7길19(벌리동),,,,
31,경상남도,의령,,해초과메기(의령점)경남 의령군 의령읍 서동리530-5,,,,
32,,서울,,"해초과메기(강서점)서울시 강서구 양천로24길60,1층(방화동)",,,,
33,경기도,파주,,해초과메기(파주점)경기 파주시 새꽃로90,,,,
34,경기도,시흥,,해초과메기(시흥점)경기도 시흥시 시청로66번길26.11호(장현동),,,,
35,경기도,화성,,"해초과메기(동탄점)경기 화성시 동탄순환대로29길60지하b01호,b02호",,,,
36,,인천,,"해초과메기(인천)인천시 중구 홍예문로8,1층(중앙동4가)",,,,
37,,인천,,해초과메기(검단점)인천시 서구 검단로487번길10 투인빌딩1층,,,,
